scenarioId,eventOrder,command,arg1,arg2,arg3,text,action,voice,branchName
1,1,StartScenario,,,,,,,
1,2,Bg,,,,,,,
1,3,Character,josei_04_a,1,,,,,
1,4,,,,,aaaaa,,,
1,5,Character,josei_06_a,3,,,,,
1,6,,,,,bbbbb,,,
1,7,,,,,ccccc,,,
1,8,,,,,ddddd,,,
1,9,,,,,あいうえお,,,
1,10,Character,josei_07_a,5,,,,,
1,11,,,,,私の名前は,,,
1,12,,,,,,,,
1,13,,,,,,,,
1,14,,,,,,,,
1,15,EndScenario,,,,,,,
2,1,StartScenario,,,,,,,
2,2,Bg,,,,,,,
2,3,Character,,,,,,,
2,4,,,,,,,,
2,5,,,,,,,,
2,6,,,,,,,,
2,7,,,,,,,,
2,8,,,,,,,,
2,9,,,,,,,,
2,10,,,,,,,,
2,11,,,,,,,,
2,12,,,,,,,,
2,13,,,,,,,,
2,14,,,,,,,,
2,15,EndScenario,,,,,,,
